date,Open,High,Low,Close,Volume,MarketCap
2025-01-19,104334.61575724394,104334.61575724394,104334.61575724394,104334.61575724394,49416447749.13053,2067151195362.0425
2025-01-20,101275.33714814208,101275.33714814208,101275.33714814208,101275.33714814208,72970313683.92325,2014842808849.5005
2025-01-21,101764.90860170545,101764.90860170545,101764.90860170545,101764.90860170545,120158523166.88387,2017837068202.1384
2025-01-22,106182.2368201815,106182.2368201815,106182.2368201815,106182.2368201815,95344290057.8965,2098829000928.49
2025-01-23,103673.53509537787,103673.53509537787,103673.53509537787,103673.53509537787,55030669602.56557,2054288661793.9773
2025-01-24,104067.60991206947,104067.60991206947,104067.60991206947,104067.60991206947,102455227371.20761,2062360759045.0
2025-01-25,104835.19253555956,104835.19253555956,104835.19253555956,104835.19253555956,51418786362.7815,2076156720642.786
2025-01-26,104796.04077738234,104796.04077738234,104796.04077738234,104796.04077738234,22740744964.719296,2077647817531.3406
2025-01-27,102552.24874280207,102552.24874280207,102552.24874280207,102552.24874280207,20639818380.26942,2036324005947.406
2025-01-28,101958.46953745594,101958.46953745594,101958.46953745594,101958.46953745594,93191643783.24739,2019295541213.5288
2025-01-29,101313.11264498268,101313.11264498268,101313.11264498268,101313.11264498268,45780526813.56264,2007072201507.5273
2025-01-30,103718.97939813645,103718.97939813645,103718.97939813645,103718.97939813645,47425401641.53094,2056581551171.7
2025-01-31,104781.5135100103,104781.5135100103,104781.5135100103,104781.5135100103,42122570869.034325,2076760153260.6191
2025-02-01,102382.39409722165,102382.39409722165,102382.39409722165,102382.39409722165,37187819228.35328,2028504133577.489
2025-02-02,100674.78762544956,100674.78762544956,100674.78762544956,100674.78762544956,22827776122.48367,1996423711261.7268
2025-02-03,97568.31653024875,97568.31653024875,97568.31653024875,97568.31653024875,59784234332.21204,1933691439792.2544
2025-02-04,101466.8606657039,101466.8606657039,101466.8606657039,101466.8606657039,122163969235.23686,2011121374511.8835
2025-02-05,98118.43921664466,98118.43921664466,98118.43921664466,98118.43921664466,73196693057.98114,1943535291172.1597
2025-02-06,96582.88682919052,96582.88682919052,96582.88682919052,96582.88682919052,48848958931.79228,1912584628590.309
2025-02-07,96635.41875332211,96635.41875332211,96635.41875332211,96635.41875332211,44462180396.172516,1915093756057.5637
2025-02-08,96558.4563096667,96558.4563096667,96558.4563096667,96558.4563096667,57077722340.22422,1911296376425.356
2025-02-09,96558.23762501091,96558.23762501091,96558.23762501091,96558.23762501091,20760850644.84597,1914211835440.1182
2025-02-10,96548.57865379585,96548.57865379585,96548.57865379585,96548.57865379585,25457107581.051964,1913068773356.083
2025-02-11,97399.98161383197,97399.98161383197,97399.98161383197,97399.98161383197,37054987393.57789,1930742951090.367
2025-02-12,95739.97737079239,95739.97737079239,95739.97737079239,95739.97737079239,36454577154.5622,1898788887978.3252
2025-02-13,97836.18856127483,97836.18856127483,97836.18856127483,97836.18856127483,47115618235.19051,1936842454813.9983
2025-02-14,96561.6639990985,96561.6639990985,96561.6639990985,96561.6639990985,29084371910.690556,1914315097486.3862
2025-02-15,97488.48148536457,97488.48148536457,97488.48148536457,97488.48148536457,32289906944.92862,1931656846871.4856
2025-02-16,97569.95169430465,97569.95169430465,97569.95169430465,97569.95169430465,14215311318.346336,1934308378710.2861
2025-02-17,96149.3484548204,96149.3484548204,96149.3484548204,96149.3484548204,13634794998.739267,1905012222220.3691
2025-02-18,95776.15723852723,95776.15723852723,95776.15723852723,95776.15723852723,25324374113.08163,1898997753781.9536
2025-02-19,95495.89153299287,95495.89153299287,95495.89153299287,95495.89153299287,38311133144.729355,1892702154844.508
2025-02-20,96554.87156259285,96554.87156259285,96554.87156259285,96554.87156259285,27703222487.389572,1914337919659.5537
2025-02-21,98384.31738240314,98384.31738240314,98384.31738240314,98384.31738240314,24175261969.81266,1950376106325.3228
2025-02-22,96135.15541305285,96135.15541305285,96135.15541305285,96135.15541305285,42477472950.92155,1906058197506.3809
2025-02-23,96564.15414290235,96564.15414290235,96564.15414290235,96564.15414290235,18464415570.762142,1915260330870.798
2025-02-24,96327.46309127835,96327.46309127835,96327.46309127835,96327.46309127835,16643044374.983364,1909625674815.4763
2025-02-25,91396.76686930266,91396.76686930266,91396.76686930266,91396.76686930266,45539703844.38777,1814176779160.4363
2025-02-26,88755.7693356979,88755.7693356979,88755.7693356979,88755.7693356979,96742453402.56294,1759750360550.3337
2025-02-27,83900.11496524839,83900.11496524839,83900.11496524839,83900.11496524839,69277430795.68657,1664314955447.7466
2025-02-28,84709.14477847965,84709.14477847965,84709.14477847965,84709.14477847965,305190442156.92804,1679555320077.2097
2025-03-01,84441.9012237131,84441.9012237131,84441.9012237131,84441.9012237131,80695237175.07367,1674754437110.342
2025-03-02,86005.25629681018,86005.25629681018,86005.25629681018,86005.25629681018,30634474722.6359,1705564098300.8237
2025-03-03,94261.53286538439,94261.53286538439,94261.53286538439,94261.53286538439,61859112550.80991,1868321705444.4878
2025-03-04,86124.71418722175,86124.71418722175,86124.71418722175,86124.71418722175,68715362745.4567,1708198960874.3418
2025-03-05,87310.80531078295,87310.80531078295,87310.80531078295,87310.80531078295,65863356680.42408,1731441668069.6523
2025-03-06,90604.08098523637,90604.08098523637,90604.08098523637,90604.08098523637,51606642859.81411,1797706868227.531
2025-03-07,90001.40087607042,90001.40087607042,90001.40087607042,90001.40087607042,47555759124.64708,1782785866811.654
2025-03-08,86773.33597555371,86773.33597555371,86773.33597555371,86773.33597555371,63216440874.73251,1720436931689.2776
2025-03-09,86142.9833586432,86142.9833586432,86142.9833586432,86142.9833586432,18809360803.37126,1708605516770.228
2025-03-10,80751.13893300897,80751.13893300897,80751.13893300897,80751.13893300897,32013406240.51754,1602073794580.0344
2025-03-11,78783.94057934263,78783.94057934263,78783.94057934263,78783.94057934263,49983692766.22745,1563547150147.7332
2025-03-12,82799.1080292053,82799.1080292053,82799.1080292053,82799.1080292053,56404462275.083046,1642997419531.6057
2025-03-13,83884.24578828987,83884.24578828987,83884.24578828987,83884.24578828987,41782186208.59073,1662502658717.542
2025-03-14,81098.90052436228,81098.90052436228,81098.90052436228,81098.90052436228,32583592654.882656,1608477373718.186
2025-03-15,83971.70916064628,83971.70916064628,83971.70916064628,83971.70916064628,28571483950.074646,1665725559905.8198
2025-03-16,84391.69087647168,84391.69087647168,84391.69087647168,84391.69087647168,10761796127.312485,1674173293916.4658
2025-03-17,82610.61750343916,82610.61750343916,82610.61750343916,82610.61750343916,21638031633.118767,1638672153483.722
2025-03-18,84075.36559694471,84075.36559694471,84075.36559694471,84075.36559694471,19659366246.596867,1667799227887.438
2025-03-19,82780.03048688271,82780.03048688271,82780.03048688271,82780.03048688271,24557570268.85276,1642578274105.806
2025-03-20,86815.44109470697,86815.44109470697,86815.44109470697,86815.44109470697,33871216993.304657,1721565138141.278
2025-03-21,84270.84358966233,84270.84358966233,84270.84358966233,84270.84358966233,27579127651.06656,1672550706502.8184
2025-03-22,84009.532917822,84009.532917822,84009.532917822,84009.532917822,18091004975.919056,1666749159154.2927
2025-03-23,83793.30854192551,83793.30854192551,83793.30854192551,83793.30854192551,7771134681.982918,1662574363663.653
2025-03-24,85787.70914901773,85787.70914901773,85787.70914901773,85787.70914901773,12617587530.619724,1702009594329.4495
2025-03-25,87327.72969669085,87327.72969669085,87327.72969669085,87327.72969669085,27270889835.1835,1732715331970.134
2025-03-26,87520.58391530563,87520.58391530563,86355.35484847498,86355.35484847498,26860328577.08167,1712924097732.3901
